DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
171412541,05/15/2017,05/13/2017,2230,14,Pacific,1472,997,TRAFFIC COLLISION,,30,M,W,101,STREET,NICHOLSON,CULVER,POINT (-118.445 33.9617)
171411694,05/02/2017,05/02/2017,1900,14,Pacific,1493,997,TRAFFIC COLLISION,3004 3026 3035 3037 3101 3401 3701 4014,33,M,X,101,STREET,IMPERIAL                     HY,VISTA DEL MAR,POINT (-118.4349 33.9308)
171411582,05/01/2017,05/01/2017,1200,14,Pacific,1455,997,TRAFFIC COLLISION,3004 3028 3034 3037 3101 3401 3701 4027,50,M,W,101,STREET,CENTINELA,CULVER,POINT (-118.4209 33.991)
171410431,04/15/2017,04/14/2017,0540,14,Pacific,1454,997,TRAFFIC COLLISION,3004 3028 3030 3035 3036 3101 3401 3701 4014,32,M,H,101,STREET,LINCOLN,CULVER,POINT (-118.433 33.976)
171409917,04/05/2017,04/04/2017,2230,14,Pacific,1472,997,TRAFFIC COLLISION,3006 3028 3035 3037 3101 3401 3701 4014,30,M,O,101,STREET,CULVER,CULVER,POINT (-118.4334 33.9738)
171407104,02/26/2017,02/25/2017,0210,14,Pacific,1409,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3102 3401 3701 4014,26,M,A,101,STREET,VENICE,CULVER,POINT (-118.3924 34.027)
171406885,02/21/2017,02/21/2017,1335,14,Pacific,1471,997,TRAFFIC COLLISION,3004 3028 3034 3037 3101 3401 3701 4027,,M,O,101,STREET,PACIFIC                      AV,VISTA DEL MAR,POINT (-118.4486 33.9572)
171405874,02/04/2017,02/03/2017,0110,14,Pacific,1409,997,TRAFFIC COLLISION,3004 3028 3034 3037 3101 3401 3701 4027,54,M,W,101,STREET,VENICE,CULVER,POINT (-118.3924 34.027)
161429809,12/15/2016,12/15/2016,2200,14,Pacific,1457,997,TRAFFIC COLLISION,3008 3026 3035 3036 3101 3401 3701 4014,,M,H,101,STREET,CENTINELA                    AV,CULVER,POINT (-118.4209 33.991)
161429182,12/07/2016,12/06/2016,2305,14,Pacific,1462,997,TRAFFIC COLLISION,3004 3028 3034 3037 3101 3401 3701 4014,62,F,W,101,STREET,JEFFERSON,CULVER,POINT (-118.4396 33.9678)
161428447,11/24/2016,11/23/2016,1745,14,Pacific,1409,997,TRAFFIC COLLISION,1501,50,M,H,101,STREET,VENICE,CULVER,POINT (-118.3924 34.027)
161427931,11/15/2016,11/15/2016,0705,14,Pacific,1472,997,TRAFFIC COLLISION,3004 3026 3035 3037 3101 3401 3701 4014,59,M,B,101,STREET,CULVER,VISTA DEL MAR,POINT (-118.4484 33.9589)
