"GERMANINV-1","1","Deutschland","Germany","Löwenberg","Löwenberg","Hohenzollern-Hechingen, Friedrich-Wilhelm-Konstantin, Fürst von","","Löwenberg","","1858/00/00","","0012","","0001","Francesco Albano","","ALBANI, FRANCESCO","","Italian","","","","","","Heilige Familie.  Holz.  Br. 8 z. 2 l.; H. 10 z. 10 l.","Heilige Familie","","","73B81","Holy Family (Alone), 'Trinitas terrestris'","","Gemälde","holz","8.2 x 10.10","","","","Verzeichniss der Gemälde-Sammlung S.H. des Fürsten zu Hohenzollern-Hechingen.  Löwenberg 1858. 12mo. 300 Nummern.","","","","","","","","","","","Vol. I"
"GERMANINV-2","1","Deutschland","Germany","Löwenberg","Löwenberg","Hohenzollern-Hechingen, Friedrich-Wilhelm-Konstantin, Fürst von","","Löwenberg","","1858/00/00","","0012","","0002","Francesco Albano","","ALBANI, FRANCESCO","","Italian","","","","","","Zwei musizirende Engel.  Leinwand.  Br. 1 f.; H. 9 z. 6 l.","Zwei musizirende Engel","","","11G","Angels","","Gemälde","leinwand","1 x 9.6","","","","","","","","","","","","","","","Vol. I"
"GERMANINV-3","1","Deutschland","Germany","Löwenberg","Löwenberg","Hohenzollern-Hechingen, Friedrich-Wilhelm-Konstantin, Fürst von","","Löwenberg","","1858/00/00","","0014","","0003","Anton Albers","","NEW","","NEW","","","","","","Schweizerlandschaft mit einem See und der Aussicht auf Gebirge.  Leinwand.  Br. und H. je 2 f. 3 z.","Schweizerlandschaft mit einem See und der Aussicht auf Gebirge","","","25H1 : 61D SCHWEIZ","Landscape: Schweiz","","Gemälde","leinwand","2 x 3","","","","","","","","","","","","","","","Vol. I"
"GERMANINV-4","1","Deutschland","Germany","Löwenberg","Löwenberg","Hohenzollern-Hechingen, Friedrich-Wilhelm-Konstantin, Fürst von","","Löwenberg","","1858/00/00","","0015","","0004","Anton Albers","","NEW","","NEW","","","","","","Waldige Gebirgslandschaft; im Mittelgrunde ein Schloss auf einem Berge.  Leinwand.  Br. 3 f. 2 z.; H. 2 f. 3 z.","Waldige Gebirgslandschaft; im Mittelgrunde ein Schloss auf einem Berge","","","25H1","Landscape in the Temperate Zone","","Gemälde","leinwand","3.2 x 2.3","","","","","","","","","","","","","","","Vol. I"
"GERMANINV-5","1","Deutschland","Germany","Löwenberg","Löwenberg","Hohenzollern-Hechingen, Friedrich-Wilhelm-Konstantin, Fürst von","","Löwenberg","","1858/00/00","","0021","","0005","Antonio da Coreggio Allegri","","CORREGGIO (ANTONIO ALLEGRI)","","Italian","","copy after","","copy after","","Aktäon überrascht die Diana im Bade.  Leinwand.  Br. 4 f. 6 z.; H. 3 f. 8 z.","Aktäon überrascht die Diana im Bade","","","97C1","As punishment for seeing her bathe, Diana changes Actaeon, the hunter, into a stag","","Gemälde","leinwand","4.6 x 3.8","","","","","","","","","","","","","","","Vol. I"
"GERMANINV-6","1","Deutschland","Germany","Löwenberg","Löwenberg","Hohenzollern-Hechingen, Friedrich-Wilhelm-Konstantin, Fürst von","","Löwenberg","","1858/00/00","","0031","","0006","Jacopo Amigoni","","AMIGONI, JACOPO","","Italian","","","","","","Maria mit dem Kinde.  Leinwand.  Br. 2 f. 1 z. 8 l.; H. 2 f. 5 z. 6 l.","Maria mit dem Kinde","","","11F4","Madonna and Child","","Gemälde","leinwand","2.1.8 x 2","","","","","","","","","","","","","","","Vol. I"
"GERMANINV-7","1","Deutschland","Germany","Löwenberg","Löwenberg","Hohenzollern-Hechingen, Friedrich-Wilhelm-Konstantin, Fürst von","","Löwenberg","","1858/00/00","","0033","","0007","Paolo Anesi","","ANESI, PAOLO","","Italian","","","","","","Landschaft mit Bäumen und Gebäuden.  Leinwand.  Br. 11 z.; H. 9 z.","Landschaft mit Bäumen und Gebäuden","","","25H1","Landscape in the Temperate Zone","","Gemälde","leinwand","11 x 9","","","","","","","","","","","","","","","Vol. I"
"GERMANINV-8","1","Deutschland","Germany","Löwenberg","Löwenberg","Hohenzollern-Hechingen, Friedrich-Wilhelm-Konstantin, Fürst von","","Löwenberg","","1858/00/00","","0033","","0008","Paolo Anesi","","ANESI, PAOLO","","Italian","","","","","","Landschaft mit Gebäuden.  Leinwand.  Br. 1 f. 6 z.; H. 8 z. 6 l.","Landschaft mit Gebäuden","","","25H1","Landscape in the Temperate Zone","","Gemälde","leinwand","1.6 x 8.6","","","","","","","","","","","","","","","Vol. I"
"GERMANINV-9","1","Deutschland","Germany","Löwenberg","Löwenberg","Hohenzollern-Hechingen, Friedrich-Wilhelm-Konstantin, Fürst von","","Löwenberg","","1858/00/00","","0033","","0009","Paolo Anesi","","ANESI, PAOLO","","Italian","","","","","","Kleine Gebirgslandschaft mit Ruinen.  Leinwand.  Br. 11 z.; H. 9 z.","Kleine Gebirgslandschaft mit Ruinen","","","25I9","Landscape with Ruins","","Gemälde","leinwand","11 x 9","","","","","","","","","","","","","","","Vol. I"
"GERMANINV-10","1","Deutschland","Germany","Löwenberg","Löwenberg","Hohenzollern-Hechingen, Friedrich-Wilhelm-Konstantin, Fürst von","","Löwenberg","","1858/00/00","","0034","","0010","Paolo Anesi","","ANESI, PAOLO","","Italian","","","","","","Kleine Gebirgslandschaft.  Leinwand.  Br. 9 z. 2 l.; H. 11 z. 2 l.","Kleine Gebirgslandschaft","","","25H1","Landscape in the Temperate Zone","","Gemälde","leinwand","9.2 x 11.2","","","","","","","","","","","","","","","Vol. I"
