"PRICES-1","P-1","","ARPINO (Giuseppe Cesari d'Arpino, 1568-1640)","1585-91","1585 |e 1591","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Crucifixion with the Virgin and St. John; Crowning of the Virgin, Apostles at the Tomb","75 scudi for each of two frescoes","75      ","368 x 214 cm each","Fresco","Wall","3","","","Sacred","","Rome, S. Atanasio dei Greci","Santori, Giulio Antonio, Cardinal","Rome, S. Atanasio dei Greci","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 20-21","","",""
"PRICES-2","P-2","","ARPINO","1589-92","1589 |e 1592","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Life of Christ, Prophets, Saints","ca. 960 scudi [800 ducati]","800","","Frescoes (24)","Choir ceiling","Crowds","","","Sacred","","Naples, Certosa di S. Martino","Certosa di S. Martino","Naples, Certosa di S. Martino","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 22","","",""
"PRICES-3","P-3","","ARPINO","1589-1601","1589 |e 1601","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Madonna del Rosario","150 scudi","150 ","330 x 210 cm","Oil","Chapel lateral","Crowd","11F623","Madonna of the Rosary","Sacred","","Cesena, Chiesa della Compagnia del Rosario","Chiesa della Compagnia del Rosario","Cesena, S. Domenico","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 32","When finished, it was evaluated at 800 scudi but Arpino accepted 150","",""
"PRICES-4","P-4","","ARPINO","1592-1615","1592 |e 1615","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Coronation of the Virgin","750  scudi","750  ","373 x 212 cm","Oil","Altarpiece","5+","73E79","Coronation of Mary in heaven (usually the Holy Trinity present)","Sacred","","Rome, S. Maria in Vallicella, Glorieri chapel","Glorieri, Alessandro","Rome, S. Maria in Vallicella, Glorieri chapel","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 165","","",""
"PRICES-5","P-5","","ARPINO","1594-96","1594 |e 1596","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Annunciation","200 scudi","200 ","257 x 166 cm","Oil","Altarpiece","2","73A52","Annunciation: Mary, usually reading, is visited by the Angel","Sacred","","Rome, S. Maria in Via, Aldobrandini chapel","Aldobrandini, Pietro, Cardinal","Rome, S. Maria in Via, Aldobrandini chapel","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 52","","",""
"PRICES-6","P-6","","ARPINO","1594-96","1594 |e 1596","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Adoration of Shepherds; Adoration of Magi","200 scudi for each of two frescoes","200      ","232 x 134 cm each","Fresco","Chapel laterals","5-10","","","Sacred","","Rome, S. Maria in Via, Aldobrandini chapel","Aldobrandini, Pietro, Cardinal","Rome, S. Maria in Via, Aldobrandini chapel","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 52","","",""
"PRICES-7","P-7","","ARPINO","1595-1640","1595 |e 1640","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","History of the Origins of Rome","5000 scudi plus accommodations","5000   ","10 x 9.5 m and 10 x 14 m","Frescoes (6)","Wall","Crowds","","","History","","Rome, Palazzo dei Conservatori","City of Rome","Rome, Palazzo  dei Conservatori","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 63, 67, 153, 269, 270","Arpino took 45 years to finish the commission instead of the contracted 4 years","",""
"PRICES-8","P-8","","ARPINO","ca. 1596-97","1596 |e 1597","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Battle between Tullo Ostilio and the Veienti and the Fidenati","500 scudi?","500","66 x 89 cm","Oil","Easel","Crowd","","","History","","","","Rome, Galleria Borghese","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 65","A modello for the Conservatori fresco; the improbably high price is cited by Van Mander","",""
"PRICES-9","P-9","","ARPINO","1598","1598","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Marriage paintings (two)","525 scudi [350 scudi d oro] for the two","525","","","","","","","Portrait (allegorical?)","","Ferrara","Clement VIII, Pope","","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, pp. 88, 92","Commissioned on the occasion of the double Spanish-Austrian marriages of Philip III and Margherita, and Albert and Isabella","",""
"PRICES-10","P-10","","ARPINO","1599-1601","1599 |e 1601","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Ascension of Christ","9000 scudi for entire project","9000    ","ca. 14 x 8.5 m","Fresco","Wall","Crowd","73E42","The Ascension (Christ surrounded by radiant light or in a mandorla)","Sacred","","Rome, S. Giovanni in Laterano, left transept","Clement VIII, Pope","Rome, S. Giovanni in Laterano, left transept","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 89","Arpino was supervisor of a team of artists paid 200 scudi weekly; Röttgen estimates that Arpino earned 1900 scudi on his Ascension, plus 1000 scudi as supervisor","",""
"PRICES-11","P-11","","ARPINO","1602","1602","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Trinity","40 scudi + 20 scudi bonus","40","82 x 68 cm","Oil","Easel","5","11B","Holy Trinity","Sacred","","Mexico","SS. Trinità dei Pellegrini","Mexico City, Museo de San Carlos","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 108","Caravaggio was first offered the commission at 40 scudi","",""
"PRICES-12","P-12","","ARPINO","1602-03","1602 |e 1603","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Old Testament scenes","15 scudi monthly for 7 months + 150-200  scudi per annum and lodging, and unrecorded further payment","15; 150; 200","","Frescoes (7)","Wall","4 with 2 figs., 1 with 3, 2 with 5-10","","","Sacred","","Frascati, Villa Aldobrandini","Aldobrandini, Pietro, Cardinal","Frascati, Villa Aldobrandini","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 105 and p. 110","Röttgen assumes that there was additional payment on top of Arpino's stipend","",""
"PRICES-13","P-13","","ARPINO","1603-12","1603 |e 1612","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Apostles, Saints, Angels","7266 scudi @ 10 baiocchi per palmo","7266","2 to 7 m high","Cartoons for mosaics (70), tempera on canvas","","1 each","","","Sacred","","Vatican, St. Peter's, cupola","Vatican, St. Peter's","Various locations (16 destroyed at Montecassino, 1944)","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 115","The Montecassino cartoons were acquired 1622 for 1000 scudi; the mosaicists at St. Peter's were paid nearly 3 times as much as Arpino (27.5 baiocchi per palmo)","",""
